episode,episode_seed,episode_return,decision_count,normal_action_count,forced_action_count,random_action_count,policy_action_count,local_action_count,edge_action_count,cloud_action_count,drop_action_count,total_jobs,completed_jobs,dropped_jobs,unresolved_jobs,simulation_end_time,episode_updates,global_decision_steps,global_normal_action_steps,replay_size,replay_trainable_size,replay_forced_size,masac_update_step,critic_loss,q1_loss,q2_loss,actor_loss,alpha_loss,alpha,policy_entropy,target_entropy,mean_q1,mean_q2,mean_target_q,wall_time_seconds,per_agent_returns
1,42,-1578.120339163983,1375,1353,22,1353,0,880,375,98,22,1000,274,726,0,4583.413031391554,362,1375,1353,1375,1353,22,362,0.5036584359506218,0.25026142309054483,0.25339701300414885,-0.5833600423612647,1.6480475373254853,0.22316333651542664,1.588382400860444,2.646107981218159,-0.6644658558315067,-0.6629537951150711,-0.6850529368246457,13.043693300103769,"{""DC-1"": -332.8684770563789, ""DC-2"": -272.1447809464654, ""DC-3"": -363.76665616160244, ""DC-4"": -301.98729881654856, ""DC-5"": -307.3531261829884}"
1,42,-1578.120339163983,1375,1353,22,1353,0,880,375,98,22,1000,274,726,0,4583.413031391554,362,1375,1353,1375,1353,22,362,0.5036584359506218,0.25026142309054483,0.25339701300414885,-0.5833600423612647,1.6480475373254853,0.22316333651542664,1.588382400860444,2.646107981218159,-0.6644658558315067,-0.6629537951150711,-0.6850529368246457,15.519494300009683,"{""DC-1"": -332.8684770563789, ""DC-2"": -272.1447809464654, ""DC-3"": -363.76665616160244, ""DC-4"": -301.98729881654856, ""DC-5"": -307.3531261829884}"
2,43,-1646.6678345986165,1349,1327,22,1327,0,885,349,93,22,1000,237,763,0,4639.2076118355635,1349,2724,2680,2724,2680,44,1711,0.21794396802352214,0.11074451495754534,0.10719945320681433,-1.695688153302961,1.293194929257952,0.32779714465141296,1.6582201754631511,2.6445391294777703,0.26675263221591045,0.2669165970533575,0.269795635840431,26.48043220001273,"{""DC-1"": -290.79728865655323, ""DC-2"": -341.2115643757296, ""DC-3"": -349.79330557140645, ""DC-4"": -296.09435374902455, ""DC-5"": -368.7713222459011}"
3,44,-1600.858555414299,1364,1341,23,1341,0,877,364,100,23,1000,268,732,0,4643.800668946378,1364,4088,4021,4088,4021,67,3075,0.1529007075665808,0.07922167119589195,0.07367903627782972,-4.545859570901764,0.7736721519063995,0.47242438793182373,1.817690694436999,2.643148649298201,2.8705061476601186,2.870672490939367,2.8727911083229825,26.365408800076693,"{""DC-1"": -315.4532579552484, ""DC-2"": -347.2724779559388, ""DC-3"": -316.63836148537524, ""DC-4"": -279.83742879546844, ""DC-5"": -341.6570292222665}"
4,45,-1635.5761892183239,1947,1893,54,979,914,807,947,139,54,1000,302,698,0,4578.617450175989,1947,6035,5914,6035,5914,121,5022,0.18704139659373528,0.09524775189302123,0.09179364443284521,-10.492873916273307,0.30311808013034347,0.7495177984237671,2.075554281733375,2.6438939808942012,8.441338362299483,8.441328961725533,8.443105614362892,36.75536029995419,"{""DC-1"": -284.69283918395627, ""DC-2"": -302.85430475598923, ""DC-3"": -429.1030267503462, ""DC-4"": -306.60225991466433, ""DC-5"": -312.3237586133451}"
5,46,-1591.3817233472753,2380,2305,75,0,2305,735,1380,190,75,1000,366,634,0,4739.222759977318,2380,8415,8219,8415,8219,196,7402,0.29411111637449067,0.1553383552790189,0.13877276105007955,-23.821266242436,0.022237917082964975,1.2063745260238647,2.3533548065594263,2.644239398511518,21.132745891859553,21.132715149486767,21.133911542732175,46.83538080006838,"{""DC-1"": -312.6210252908558, ""DC-2"": -377.2813301043006, ""DC-3"": -371.2589321517342, ""DC-4"": -251.52606648073703, ""DC-5"": -278.6943693196373}"
6,47,-1630.5897782156662,2007,1952,55,0,1952,826,1007,119,55,1000,299,701,0,4578.617450175989,2007,10422,10171,10422,10171,251,9409,0.6030364373042683,0.30865873859320103,0.2943776975788165,-46.423019131678046,-0.04231565696334417,1.6963573694229126,2.5198110748893536,2.644714434585229,42.65694175933093,42.65712782608435,42.656637998617995,39.47322509996593,"{""DC-1"": -334.22160230444996, ""DC-2"": -354.5175068423153, ""DC-3"": -407.9868278905031, ""DC-4"": -242.09674434804595, ""DC-5"": -291.7670968303433}"
7,48,-1637.6022967333895,1783,1728,55,0,1728,824,783,121,55,1000,283,717,0,4590.113238033903,1783,12205,11899,12205,11899,306,11192,1.1302701338365113,0.6018101745319046,0.5284599560285244,-75.24849075129109,-0.034076969805254535,2.186321496963501,2.5922560154288523,2.6454438544095265,70.24121538548408,70.2408081606674,70.2402771946024,35.181049099890515,"{""DC-1"": -344.6950100265563, ""DC-2"": -318.38798448446187, ""DC-3"": -392.55542096154636, ""DC-4"": -272.7950181518328, ""DC-5"": -309.16886310898553}"
8,49,-1604.3512170660763,1672,1636,36,0,1636,837,672,127,36,1000,280,720,0,4655.853238033903,1672,13877,13535,13877,13535,342,12864,3.2169350744648413,1.6715226997331711,1.545412372664045,-109.50438572459244,-0.015902365342146854,2.5846025943756104,2.6268648140168076,2.645456572611366,103.32766247708261,103.3279257505134,103.32319533881959,37.040790900122374,"{""DC-1"": -326.6521143651307, ""DC-2"": -329.4199224461092, ""DC-3"": -336.97191902873357, ""DC-4"": -298.8489590892347, ""DC-5"": -312.45830213686276}"
9,50,-1595.0786751618318,1605,1558,47,0,1558,830,605,123,47,1000,294,706,0,4744.840668946378,1605,15482,15093,15482,15093,389,14469,6.70545520236559,3.4518327685902794,3.2536224350008265,-147.1348559988622,-0.004723362641110204,2.8123695850372314,2.640694936710726,2.645486954810835,140.1095094579774,140.10923019836997,140.09652085824177,34.888749999925494,"{""DC-1"": -296.02852582163416, ""DC-2"": -318.7817495759302, ""DC-3"": -365.2652291217373, ""DC-4"": -311.9067418543683, ""DC-5"": -303.09642878815936}"
10,51,-1636.45783624237,1565,1529,36,0,1529,863,565,101,36,1000,265,735,0,4469.192152552001,1565,17047,16622,17047,16622,425,16034,10.709254330187179,5.469381332435547,5.239872956599672,-184.02996275295465,-0.00046443870978633736,2.8490443229675293,2.644487418610448,2.6449258190374403,176.68632667224628,176.68406205344886,176.66645904638517,33.43043710011989,"{""DC-1"": -312.99504602934894, ""DC-2"": -352.30593512323975, ""DC-3"": -349.98266108572375, ""DC-4"": -292.46198528373117, ""DC-5"": -328.7122087203252}"
11,52,-1601.1892049417363,1582,1548,34,0,1548,853,582,113,34,1000,271,729,0,4719.112759977317,1582,18629,18170,18629,18170,459,17616,14.125594302616289,7.324614207734802,6.800980100721384,-218.81101163147974,-0.00018132570031778676,2.871002674102783,2.645229406212133,2.6454115649390912,211.37851614777267,211.37884445286883,211.3544709582998,34.12610420002602,"{""DC-1"": -317.79154267546244, ""DC-2"": -303.38895089936415, ""DC-3"": -343.9911341848556, ""DC-4"": -288.31665134253194, ""DC-5"": -347.7009258395168}"
12,53,-1694.328241555967,1650,1603,47,0,1603,861,650,92,47,1000,234,766,0,4469.192152552001,1650,20279,19773,20279,19773,506,19266,15.360801988262118,7.881042517929366,7.479759455431592,-251.6000887784091,0.00018087715716595112,2.8408448696136475,2.645453503637603,2.6452830875281133,244.22970896402995,244.22612973299894,244.20323548288056,35.00648560002446,"{""DC-1"": -350.9380568215176, ""DC-2"": -320.91008239675887, ""DC-3"": -342.66155061545567, ""DC-4"": -325.32485860234704, ""DC-5"": -354.4936931198798}"
13,54,-1602.5048555494222,1631,1591,40,0,1591,853,631,107,40,1000,277,723,0,4691.73442761474,1631,21910,21364,21910,21364,546,20897,30.760881284823963,15.64102526428435,15.119856035340279,-281.8829024997246,-9.129508874555542e-05,2.857484817504883,2.645267295661987,2.645354792503109,274.52834334569354,274.52642281518837,274.4829730999243,34.37502439995296,"{""DC-1"": -287.35810158872897, ""DC-2"": -357.1549774030631, ""DC-3"": -333.3923039866377, ""DC-4"": -307.53833750051194, ""DC-5"": -317.06113507047667}"
14,55,-1653.3961928661818,1602,1558,44,0,1558,836,602,120,44,1000,259,741,0,4629.0027599773175,1602,23512,22922,23512,22922,590,22499,40.535246042239386,20.716608111052476,19.818638090504688,-309.3189747556765,-0.00013484727191162086,2.878507137298584,2.6448315417721924,2.6449562314148998,301.977360357506,301.97701843490313,301.92843100253714,33.485861300025135,"{""DC-1"": -319.41027432665993, ""DC-2"": -357.6130300021569, ""DC-3"": -344.108981319854, ""DC-4"": -329.5551574850197, ""DC-5"": -302.70874973248635}"
1,42,-18468.199480207484,17710,17328,382,5000,12328,8324,7710,1294,382,10000,1691,8309,0,6834.5420447265005,16694,17710,17328,17710,17328,382,16694,0.26212629493238027,0.1291205677733484,0.13300572721917117,-66.33245492758431,0.24483841052558242,2.584641218185425,2.324318142626776,2.646718419010916,62.285121526260426,62.2850646339903,62.28664690880351,376.4764725000132,"{""DC-1"": -3774.5294005307937, ""DC-2"": -3839.8135297390368, ""DC-3"": -4047.9832181324873, ""DC-4"": -3263.289420236316, ""DC-5"": -3542.5839115679482}"
1,42,-1468.049960470024,1386,1360,26,1360,0,877,386,97,26,1000,347,653,0,5966.285420917914,369,1386,1360,1386,1360,26,369,0.6345320876213271,0.31491590026755967,0.3196161880402707,-0.1283777313998479,1.0797560798827064,0.102731853723526,1.6919569187371066,2.16006101050028,-0.7855997115053706,-0.7827077400119758,-0.8116856958807969,15.01022809999995,"{""DC-1"": -298.73665306957787, ""DC-2"": -257.95436680046157, ""DC-3"": -339.44413242024257, ""DC-4"": -236.17197726554554, ""DC-5"": -335.74283091419403}"
2,43,-1502.699192724923,1335,1307,28,1307,0,875,335,97,28,1000,323,677,0,6239.222576878486,1335,2721,2667,2721,2667,54,1704,0.24203285198756372,0.12358894977397687,0.11844390217731061,-0.3958809291267216,1.6767473202073173,0.11798441410064697,1.3987355306353908,2.1589918450916303,-0.6817975411254369,-0.6823445857910627,-0.6813239666853058,25.616240999894217,"{""DC-1"": -285.0246203855698, ""DC-2"": -307.39000395554723, ""DC-3"": -284.6486490368572, ""DC-4"": -245.99476040379568, ""DC-5"": -379.64115894314995}"
3,44,-1464.7584227411185,1353,1336,17,1336,0,884,353,99,17,1000,328,672,0,5627.302278736786,1353,4074,4003,4074,4003,71,3057,0.1309958120253204,0.06823795107905722,0.06275786109494441,-0.8047953524681171,1.5363334464921126,0.13494248688220978,1.4154369990559568,2.1575607520425577,-0.3099816654287747,-0.31024901643780894,-0.30879408463488794,25.480960799846798,"{""DC-1"": -274.23129567386826, ""DC-2"": -284.3796993885814, ""DC-3"": -327.51739310544804, ""DC-4"": -245.00276823737767, ""DC-5"": -333.62726633584225}"
4,45,-2040.6603873582671,6553,6429,124,997,5432,766,5553,110,124,1000,358,642,0,6916.697560355562,6553,10627,10432,10627,10432,195,9610,0.03840428750263349,0.02058142633276825,0.01782286117860572,-2.977260876316779,1.0718446406502407,0.2527986466884613,1.5283991703637116,2.1573268849850065,2.0160194864754115,2.0161108933772205,2.0169434349673536,132.6095282000024,"{""DC-1"": -431.2945414632998, ""DC-2"": -367.84015706940255, ""DC-3"": -425.43715112520357, ""DC-4"": -389.1355186756411, ""DC-5"": -426.95301902453673}"
